,Blinkroot,Daybloom,Deathweed,Fireblossom,Moonglow,Shiverthorn,Waterleaf
Herb_Bag_1807,25,10,24,0,16,30,8
Herb_Bag_1808,14,10,26,18,25,21,9
Herb_Bag_1809,13,22,34,14,25,14,6
Herb_Bag_1810,0,24,31,13,24,24,17
Herb_Bag_1811,26,23,50,15,37,20,8
Herb_Bag_1812,25,15,13,16,29,17,11
Herb_Bag_1813,22,10,43,15,32,26,14
Herb_Bag_1814,8,14,32,19,30,14,13
Herb_Bag_1815,17,18,8,6,28,28,9
Herb_Bag_1816,16,28,7,17,15,13,3
Herb_Bag_1817,0,14,7,24,29,27,9
Herb_Bag_1818,18,15,39,21,29,27,15
Herb_Bag_1819,16,22,27,27,25,27,10
Herb_Bag_1820,19,19,45,6,26,0,8
Herb_Bag_1821,29,15,22,20,21,25,18
Herb_Bag_1822,5,24,13,15,20,23,9
Herb_Bag_1823,15,7,20,13,30,33,5
Herb_Bag_1824,13,25,20,11,28,28,12
Herb_Bag_1825,25,8,8,17,24,25,10
Herb_Bag_1826,16,22,14,10,25,19,9
Herb_Bag_1827,13,19,22,13,18,27,9
Herb_Bag_1828,15,24,42,18,31,9,12
Herb_Bag_1829,17,22,15,5,35,12,11
Herb_Bag_1830,14,18,8,9,24,32,4
Herb_Bag_1831,31,20,28,19,28,22,14
Herb_Bag_1832,18,10,13,16,15,29,16
Herb_Bag_1833,26,13,27,15,8,32,13
Herb_Bag_1834,15,12,33,15,34,10,12
Herb_Bag_1835,20,20,28,11,26,12,8
Herb_Bag_1836,26,18,45,19,12,23,13
Herb_Bag_1837,18,29,30,20,31,30,13
Herb_Bag_1838,2,17,13,28,26,16,15
Herb_Bag_1839,28,18,37,29,14,37,11
Herb_Bag_1840,6,18,33,14,26,12,9
Herb_Bag_1841,18,14,10,15,31,25,21
Herb_Bag_1842,24,18,13,28,40,13,6
Herb_Bag_1843,6,22,56,10,34,21,13
Herb_Bag_1844,31,19,33,14,18,23,12
Herb_Bag_1845,25,24,15,12,23,20,7
Herb_Bag_1846,19,12,16,24,28,14,14
Herb_Bag_1847,7,24,1,10,28,2,13
Herb_Bag_1848,10,16,26,13,24,25,9
Herb_Bag_1849,26,18,30,21,36,16,15
Herb_Bag_1850,21,28,39,12,27,12,8
Herb_Bag_1851,18,13,24,28,32,24,8
Herb_Bag_1852,0,24,25,10,29,13,17
Herb_Bag_1853,20,16,6,31,42,30,10
Herb_Bag_1854,11,15,17,13,33,3,11
Herb_Bag_1855,6,21,52,16,29,17,7
Herb_Bag_1856,22,20,16,10,24,11,0
Herb_Bag_1857,20,17,25,15,21,33,11
Herb_Bag_1858,10,18,0,21,25,11,11
Herb_Bag_1859,22,11,36,18,31,32,8
Herb_Bag_1860,5,15,16,12,32,19,8
Herb_Bag_1861,9,23,10,2,36,13,4
Herb_Bag_1862,20,18,11,3,35,9,5
Herb_Bag_1863,27,13,53,5,17,13,12
Herb_Bag_1864,3,14,16,9,38,25,10
Herb_Bag_1865,16,23,3,17,17,28,10
Herb_Bag_1866,20,8,28,0,23,16,11
Herb_Bag_1867,0,21,0,21,30,3,8
Herb_Bag_1868,24,21,12,16,24,24,7
Herb_Bag_1869,10,9,16,14,20,21,5
Herb_Bag_1870,27,12,13,11,23,13,11
Herb_Bag_1871,34,14,60,13,36,33,14
Herb_Bag_1872,11,33,17,19,28,21,11
Herb_Bag_1873,13,22,18,18,13,14,8
Herb_Bag_1874,14,23,29,30,28,14,11
Herb_Bag_1875,21,16,12,27,18,8,9
Herb_Bag_1876,26,15,23,15,37,10,13
Herb_Bag_1877,19,7,6,9,22,26,9
Herb_Bag_1878,25,15,9,4,29,34,10
Herb_Bag_1879,5,25,36,24,21,24,9
Herb_Bag_1880,18,18,21,8,28,11,11
Herb_Bag_1881,30,16,29,21,24,23,6
Herb_Bag_1882,30,22,30,8,29,41,11
Herb_Bag_1883,10,16,9,14,39,30,17
Herb_Bag_1884,26,26,24,6,22,21,10
Herb_Bag_1885,17,25,17,19,19,14,10
Herb_Bag_1886,32,23,18,5,32,15,5
Herb_Bag_1887,19,14,39,13,32,35,11
Herb_Bag_1888,21,22,36,26,33,8,2
Herb_Bag_1889,26,23,36,14,27,0,9
Herb_Bag_1890,14,34,0,16,31,12,3
Herb_Bag_1891,32,31,34,9,25,12,13
Herb_Bag_1892,11,9,16,5,30,16,5
Herb_Bag_1893,22,16,8,7,31,27,15
Herb_Bag_1894,13,19,14,11,15,23,15
Herb_Bag_1895,0,20,26,5,30,27,6
Herb_Bag_1896,15,20,43,11,22,0,10
Herb_Bag_1897,11,14,30,20,20,33,11
Herb_Bag_1898,32,0,15,7,19,17,9
Herb_Bag_1899,18,13,2,25,23,17,9
Herb_Bag_1900,13,14,25,20,20,26,7
Herb_Bag_1901,8,19,3,16,13,30,10
Herb_Bag_1902,10,14,0,21,26,26,1
Herb_Bag_1903,9,22,28,14,21,28,8
Herb_Bag_1904,7,18,28,9,16,16,13
Herb_Bag_1905,12,11,19,16,31,17,8
Herb_Bag_1906,11,13,58,14,19,29,11
Herb_Bag_1907,38,21,34,27,36,5,7
Herb_Bag_1908,18,10,21,10,43,15,12
Herb_Bag_1909,21,1,38,21,16,24,3
Herb_Bag_1910,9,16,28,9,28,9,8
Herb_Bag_1911,7,8,15,10,28,31,8
Herb_Bag_1912,44,16,22,19,15,17,6
Herb_Bag_1913,26,22,20,24,19,14,3
Herb_Bag_1914,21,18,14,16,21,13,7
Herb_Bag_1915,10,23,27,11,29,16,14
Herb_Bag_1916,17,19,16,18,30,15,10
Herb_Bag_1917,35,15,14,8,40,20,11
Herb_Bag_1918,33,18,14,20,17,19,11
Herb_Bag_1919,18,16,27,16,24,31,12
Herb_Bag_1920,0,20,6,27,18,27,19
Herb_Bag_1921,8,11,17,9,32,26,16
Herb_Bag_1922,24,33,62,18,26,24,7
Herb_Bag_1923,24,18,11,25,26,20,13
Herb_Bag_1924,26,16,26,9,19,23,7
Herb_Bag_1925,13,17,30,22,29,31,9
Herb_Bag_1926,0,18,4,14,25,20,8
Herb_Bag_1927,15,17,41,28,27,12,11
Herb_Bag_1928,14,18,20,9,39,26,8
Herb_Bag_1929,1,22,22,14,13,33,11
Herb_Bag_1930,1,17,21,19,22,21,3
Herb_Bag_1931,17,19,14,9,31,16,12
Herb_Bag_1932,26,19,0,18,23,9,17
Herb_Bag_1933,34,19,18,7,18,29,9
Herb_Bag_1934,21,17,54,9,16,16,7
Herb_Bag_1935,24,12,0,31,36,28,9
Herb_Bag_1936,17,7,24,20,28,13,7
Herb_Bag_1937,32,6,43,24,23,17,9
Herb_Bag_1938,21,29,5,11,20,7,9
Herb_Bag_1939,9,17,5,6,31,9,5
Herb_Bag_1940,20,15,26,16,20,34,16
Herb_Bag_1941,11,13,24,3,24,31,13
Herb_Bag_1942,29,20,35,27,19,27,12
Herb_Bag_1943,6,11,14,28,33,26,10
Herb_Bag_1944,25,25,25,2,36,6,10
Herb_Bag_1945,17,22,35,30,40,21,9
Herb_Bag_1946,11,21,21,18,31,25,10
Herb_Bag_1947,34,17,42,39,33,17,6
Herb_Bag_1948,22,17,39,19,20,12,10
Herb_Bag_1949,15,15,19,0,28,32,6
Herb_Bag_1950,13,23,23,9,31,22,9
Herb_Bag_1951,12,30,15,29,14,24,6
Herb_Bag_1952,15,9,1,18,35,17,9
Herb_Bag_1953,16,21,33,3,28,7,10
Herb_Bag_1954,11,10,0,12,29,24,10
Herb_Bag_1955,26,5,24,5,17,27,12
Herb_Bag_1956,9,9,12,22,14,29,12
Herb_Bag_1957,25,7,34,18,31,23,9
Herb_Bag_1958,14,23,17,13,28,19,7
Herb_Bag_1959,12,19,15,6,14,8,5
Herb_Bag_1960,10,29,37,0,31,43,11
Herb_Bag_1961,15,16,32,17,26,15,16
Herb_Bag_1962,21,23,21,30,17,19,3
Herb_Bag_1963,17,18,27,16,26,4,7
Herb_Bag_1964,12,8,36,11,29,21,12
Herb_Bag_1965,24,15,32,11,30,25,14
Herb_Bag_1966,12,18,28,19,34,16,9
Herb_Bag_1967,19,26,26,23,24,4,11
Herb_Bag_1968,21,24,16,12,20,43,6
Herb_Bag_1969,24,22,21,3,35,6,8
Herb_Bag_1970,2,7,23,7,21,13,4
Herb_Bag_1971,18,16,33,8,22,30,8
Herb_Bag_1972,28,8,23,26,36,9,9
Herb_Bag_1973,17,23,40,10,22,14,9
Herb_Bag_1974,26,17,0,19,28,26,12
Herb_Bag_1975,16,20,28,26,25,12,12
Herb_Bag_1976,23,11,0,17,33,13,12
Herb_Bag_1977,16,21,19,11,26,11,14
Herb_Bag_1978,20,20,32,12,31,5,9
Herb_Bag_1979,23,20,21,4,15,13,10
Herb_Bag_1980,17,21,33,14,33,15,5
Herb_Bag_1981,17,8,32,5,20,11,9
Herb_Bag_1982,15,20,27,21,31,14,9
Herb_Bag_1983,28,28,41,23,36,32,10
Herb_Bag_1984,21,19,25,20,15,10,11
Herb_Bag_1985,32,21,18,4,27,0,2
Herb_Bag_1986,21,27,25,4,36,38,9
Herb_Bag_1987,26,11,42,0,29,34,12
Herb_Bag_1988,12,18,27,10,28,0,10
Herb_Bag_1989,23,23,15,10,33,14,10
Herb_Bag_1990,17,18,25,19,45,17,4
Herb_Bag_1991,26,14,25,21,21,12,9
Herb_Bag_1992,10,20,50,22,38,17,6
Herb_Bag_1993,13,20,33,12,31,24,10
Herb_Bag_1994,16,9,18,24,36,11,17
Herb_Bag_1995,10,21,20,17,35,10,3
Herb_Bag_1996,15,31,39,12,27,0,14
Herb_Bag_1997,25,27,19,7,36,22,11
Herb_Bag_1998,4,16,7,13,25,4,9
Herb_Bag_1999,18,26,11,6,19,9,8
Herb_Bag_2000,28,16,29,10,15,18,13
Herb_Bag_2001,16,10,35,13,28,23,13
Herb_Bag_2002,14,21,28,0,39,40,14
Herb_Bag_2003,12,16,13,8,23,22,8
Herb_Bag_2004,32,27,24,18,32,41,7
Herb_Bag_2005,25,31,57,4,23,37,10
Herb_Bag_2006,9,16,19,14,16,20,13
Herb_Bag_2007,18,26,9,18,29,24,17
Herb_Bag_2008,34,29,12,11,28,17,11
Herb_Bag_2009,13,20,37,22,24,28,7
Herb_Bag_2010,3,12,45,10,28,11,12
Herb_Bag_2011,12,2,23,11,26,19,7
Herb_Bag_2012,16,19,0,13,23,25,12
Herb_Bag_2013,25,19,19,15,16,1,7
Herb_Bag_2014,1,6,20,18,32,30,9
Herb_Bag_2015,35,4,33,15,17,6,10
Herb_Bag_2016,20,20,11,15,26,23,17
Herb_Bag_2017,12,21,20,12,32,21,5
Herb_Bag_2018,29,18,24,2,19,24,9
Herb_Bag_2019,25,23,3,13,26,26,10
Herb_Bag_2020,6,13,29,10,19,11,15
Herb_Bag_2021,33,4,0,22,33,14,11
Herb_Bag_2022,16,17,32,5,20,7,13
Herb_Bag_2023,29,9,0,18,33,4,9
Herb_Bag_2024,14,22,12,16,33,25,3
Herb_Bag_2025,27,19,30,18,21,12,16
Herb_Bag_2026,25,9,23,14,40,30,15
Herb_Bag_2027,42,19,16,1,23,30,8
Herb_Bag_2028,6,13,29,11,34,8,9
Herb_Bag_2029,17,23,22,23,30,19,5
Herb_Bag_2030,16,21,31,8,22,7,6
Herb_Bag_2031,26,20,11,13,27,25,10
Herb_Bag_2032,13,9,10,15,32,18,11
Herb_Bag_2033,19,20,8,19,34,19,13
Herb_Bag_2034,25,16,46,14,26,13,6
Herb_Bag_2035,17,23,31,15,37,20,11
Herb_Bag_2036,9,16,11,12,24,0,10
Herb_Bag_2037,22,17,37,8,23,8,14
Herb_Bag_2038,19,23,40,19,15,14,6
Herb_Bag_2039,18,6,31,14,31,38,13
Herb_Bag_2040,21,20,19,18,22,11,12
Herb_Bag_2041,12,18,35,27,24,27,6
Herb_Bag_2042,24,14,39,17,33,18,6
Herb_Bag_2043,4,19,44,20,17,10,13
Herb_Bag_2044,17,30,45,17,31,24,9
Herb_Bag_2045,22,5,21,18,11,11,17
Herb_Bag_2046,11,25,53,9,26,0,5
Herb_Bag_2047,8,16,29,18,21,30,11
Herb_Bag_2048,21,8,7,33,8,30,10
Herb_Bag_2049,21,22,5,11,27,20,7
Herb_Bag_2050,24,12,13,19,23,24,10
Herb_Bag_2051,21,17,42,21,25,10,11
Herb_Bag_2052,25,14,13,11,29,5,12
Herb_Bag_2053,7,17,0,24,35,32,11
Herb_Bag_2054,14,15,22,17,19,13,6
Herb_Bag_2055,22,9,11,5,27,28,15
Herb_Bag_2056,20,22,20,10,37,20,1
Herb_Bag_2057,7,17,1,23,21,24,8
Herb_Bag_2058,29,16,19,17,38,24,13
Herb_Bag_2059,26,20,21,10,32,23,6
Herb_Bag_2060,21,21,32,19,30,28,12
Herb_Bag_2061,22,12,1,14,29,23,6
Herb_Bag_2062,11,24,36,23,31,31,15
Herb_Bag_2063,17,20,0,24,31,7,10
Herb_Bag_2064,38,11,30,30,39,24,8
Herb_Bag_2065,11,26,30,14,18,0,8
Herb_Bag_2066,10,15,0,17,26,30,10
Herb_Bag_2067,17,21,14,23,19,23,9
Herb_Bag_2068,8,25,24,6,24,14,12
Herb_Bag_2069,16,15,27,26,29,37,6
Herb_Bag_2070,29,30,1,10,16,24,12
Herb_Bag_2071,2,11,31,11,19,31,8
Herb_Bag_2072,32,19,31,24,27,10,10
Herb_Bag_2073,11,22,21,17,35,28,11
Herb_Bag_2074,20,26,21,17,31,30,6
Herb_Bag_2075,16,24,22,6,26,31,12
Herb_Bag_2076,14,14,15,21,23,13,7
Herb_Bag_2077,22,29,14,17,30,20,9
Herb_Bag_2078,25,14,44,11,32,19,8
Herb_Bag_2079,12,1,20,1,27,26,7
Herb_Bag_2080,18,21,16,10,23,22,10
Herb_Bag_2081,17,20,48,20,33,26,14
Herb_Bag_2082,24,14,28,26,24,21,6
Herb_Bag_2083,13,12,15,2,26,17,16
Herb_Bag_2084,9,0,40,10,19,23,5
Herb_Bag_2085,15,15,6,17,24,21,10
Herb_Bag_2086,16,28,7,23,20,7,19
Herb_Bag_2087,17,15,0,3,28,22,9
Herb_Bag_2088,4,20,28,10,28,9,3
Herb_Bag_2089,24,6,53,24,29,17,8
Herb_Bag_2090,24,17,42,13,23,24,9
Herb_Bag_2091,17,18,11,19,29,30,5
Herb_Bag_2092,30,21,20,11,26,28,7
Herb_Bag_2093,13,15,48,24,33,11,13
Herb_Bag_2094,26,22,19,17,31,19,11
Herb_Bag_2095,23,19,17,12,29,4,6
Herb_Bag_2096,27,22,27,22,23,19,24
Herb_Bag_2097,27,15,14,21,29,23,16
Herb_Bag_2098,26,25,33,10,25,15,11
Herb_Bag_2099,0,19,18,9,24,4,10
Herb_Bag_2100,20,11,17,14,28,6,10
Herb_Bag_2101,25,16,13,4,32,12,11
Herb_Bag_2102,12,18,31,21,40,24,8
Herb_Bag_2103,14,13,24,9,30,32,17
Herb_Bag_2104,21,29,21,20,21,18,7
Herb_Bag_2105,19,10,23,9,14,7,3
Herb_Bag_2106,24,18,11,2,15,16,14
Herb_Bag_2107,13,22,15,0,36,36,7
Herb_Bag_2108,27,17,23,24,25,14,7
Herb_Bag_2109,15,10,25,18,37,19,7
Herb_Bag_2110,27,18,31,17,20,13,15
Herb_Bag_2111,34,8,4,8,36,12,7
Herb_Bag_2112,24,17,1,4,43,27,11
Herb_Bag_2113,6,24,32,20,22,16,10
Herb_Bag_2114,35,14,20,16,18,8,12
Herb_Bag_2115,19,16,24,36,23,14,14
Herb_Bag_2116,18,8,49,11,37,33,8
Herb_Bag_2117,8,14,25,25,28,8,15
Herb_Bag_2118,12,12,48,6,31,31,12
Herb_Bag_2119,29,20,30,23,24,6,10
Herb_Bag_2120,31,23,29,8,31,31,9
Herb_Bag_2121,21,7,19,13,24,18,2
Herb_Bag_2122,7,17,36,22,35,23,13
Herb_Bag_2123,17,29,1,16,34,11,12
Herb_Bag_2124,20,14,1,8,29,25,8
Herb_Bag_2125,12,17,9,18,27,7,10
Herb_Bag_2126,18,13,16,21,19,28,9
Herb_Bag_2127,33,9,17,8,28,24,12
Herb_Bag_2128,27,20,26,25,30,25,9
Herb_Bag_2129,15,23,11,17,32,24,8
Herb_Bag_2130,16,20,22,12,33,20,9
Herb_Bag_2131,36,20,0,12,31,13,7
Herb_Bag_2132,19,16,33,16,27,26,11
Herb_Bag_2133,16,8,32,11,31,9,12
Herb_Bag_2134,7,13,19,35,22,21,11
Herb_Bag_2135,28,21,17,26,38,28,12
Herb_Bag_2136,10,19,18,13,22,26,8
Herb_Bag_2137,28,17,0,17,34,21,8
Herb_Bag_2138,17,12,25,20,11,21,8
Herb_Bag_2139,22,2,28,9,29,11,9
Herb_Bag_2140,16,12,21,7,32,13,7
Herb_Bag_2141,3,17,28,17,16,18,10
Herb_Bag_2142,14,16,22,2,24,14,7
Herb_Bag_2143,11,22,14,10,31,32,9
Herb_Bag_2144,0,17,9,19,39,23,5
Herb_Bag_2145,17,21,30,26,31,9,12
Herb_Bag_2146,27,6,40,9,29,16,6
Herb_Bag_2147,38,30,24,1,20,36,13
Herb_Bag_2148,17,14,29,12,14,18,9
Herb_Bag_2149,26,14,34,10,20,43,10
Herb_Bag_2150,21,6,10,8,26,20,8
Herb_Bag_2151,16,10,25,22,32,0,14
Herb_Bag_2152,18,26,29,2,27,27,17
Herb_Bag_2153,7,23,13,15,32,7,10
Herb_Bag_2154,36,15,5,15,32,17,9
Herb_Bag_2155,13,11,39,32,25,16,11
Herb_Bag_2156,12,22,28,35,30,1,5
Herb_Bag_2157,32,17,31,10,36,8,16
Herb_Bag_2158,8,25,21,23,30,25,13
Herb_Bag_2159,20,18,18,14,37,23,17
Herb_Bag_2160,29,18,24,18,32,37,9
Herb_Bag_2161,20,12,41,12,29,22,13
Herb_Bag_2162,32,20,22,9,22,36,11
Herb_Bag_2163,12,18,4,32,27,13,12
Herb_Bag_2164,10,12,29,8,23,18,9
Herb_Bag_2165,21,8,10,23,30,3,10
Herb_Bag_2166,19,18,0,9,22,34,10
Herb_Bag_2167,15,32,28,2,26,15,11
Herb_Bag_2168,24,22,9,24,34,23,15
Herb_Bag_2169,28,12,11,24,21,17,17
Herb_Bag_2170,27,27,0,29,14,21,10
Herb_Bag_2171,34,30,26,27,36,14,11
Herb_Bag_2172,18,18,14,24,18,4,11
Herb_Bag_2173,7,14,5,21,28,37,10
Herb_Bag_2174,23,5,35,2,28,20,9
Herb_Bag_2175,15,15,48,1,23,12,4
Herb_Bag_2176,26,19,19,9,35,11,8
Herb_Bag_2177,13,14,11,13,33,10,16
Herb_Bag_2178,18,15,52,26,13,12,14
Herb_Bag_2179,2,11,24,6,36,8,12
Herb_Bag_2180,20,18,25,31,25,14,2
Herb_Bag_2181,15,29,22,13,18,32,6
Herb_Bag_2182,4,12,21,4,24,17,16
Herb_Bag_2183,31,15,18,18,36,28,13
Herb_Bag_2184,27,34,21,25,33,12,11
Herb_Bag_2185,7,24,33,22,31,33,4
Herb_Bag_2186,17,21,27,15,26,40,13
Herb_Bag_2187,23,6,29,23,18,23,8
Herb_Bag_2188,17,20,21,6,20,25,10
Herb_Bag_2189,24,13,39,12,24,19,7
Herb_Bag_2190,24,21,8,10,18,18,15
Herb_Bag_2191,3,20,22,26,27,20,13
Herb_Bag_2192,25,16,19,8,34,18,3
Herb_Bag_2193,13,15,14,22,37,15,12
Herb_Bag_2194,16,24,29,18,26,25,12
Herb_Bag_2195,16,24,6,9,29,27,15
Herb_Bag_2196,16,21,12,13,35,24,7
Herb_Bag_2197,27,16,13,0,33,16,8
Herb_Bag_2198,23,20,22,9,27,26,11
Herb_Bag_2199,30,15,6,28,32,11,14
Herb_Bag_2200,4,17,42,19,26,34,8
Herb_Bag_2201,9,20,34,6,23,19,8
Herb_Bag_2202,30,13,37,25,38,4,10
Herb_Bag_2203,21,31,22,12,38,22,5
Herb_Bag_2204,11,10,30,13,26,8,10
Herb_Bag_2205,13,14,32,19,19,1,14
Herb_Bag_2206,22,12,30,14,30,16,12
Herb_Bag_2207,8,12,19,16,28,49,12
Herb_Bag_2208,21,16,36,3,36,11,13
Herb_Bag_2209,6,23,56,10,21,21,7
Herb_Bag_2210,10,19,40,30,28,8,3
Herb_Bag_2211,17,24,24,13,23,19,9
Herb_Bag_2212,16,19,20,12,34,24,14
Herb_Bag_2213,17,15,32,11,34,12,11
Herb_Bag_2214,24,18,22,11,15,31,14
Herb_Bag_2215,31,23,30,22,23,27,12
Herb_Bag_2216,4,14,17,11,32,39,13
Herb_Bag_2217,19,27,40,20,32,16,10
Herb_Bag_2218,8,23,6,26,35,9,8
Herb_Bag_2219,9,16,35,5,12,38,11
Herb_Bag_2220,12,18,10,30,26,2,7
Herb_Bag_2221,21,21,19,17,25,13,10
Herb_Bag_2222,16,7,26,12,14,32,5
Herb_Bag_2223,15,7,29,14,22,14,9
Herb_Bag_2224,11,17,35,13,19,30,19
Herb_Bag_2225,16,17,57,13,25,13,14
Herb_Bag_2226,0,11,12,26,24,9,8
Herb_Bag_2227,31,17,26,0,30,35,9
Herb_Bag_2228,9,8,14,27,15,21,8
Herb_Bag_2229,33,12,11,0,31,10,8
Herb_Bag_2230,21,23,0,13,37,10,8
Herb_Bag_2231,14,19,7,9,26,18,7
Herb_Bag_2232,25,25,10,13,32,34,14
Herb_Bag_2233,11,23,21,18,21,26,12
Herb_Bag_2234,24,10,14,16,14,31,9
Herb_Bag_2235,17,23,2,4,27,38,13
Herb_Bag_2236,18,11,27,26,29,10,9
Herb_Bag_2237,24,22,8,22,32,40,12
Herb_Bag_2238,18,14,30,23,26,20,6
Herb_Bag_2239,23,20,20,11,27,34,12
Herb_Bag_2240,14,15,39,34,24,39,12
Herb_Bag_2241,33,23,14,16,25,26,9
Herb_Bag_2242,16,12,18,12,24,27,7
Herb_Bag_2243,23,8,8,4,39,21,9
Herb_Bag_2244,14,7,18,5,22,13,10
Herb_Bag_2245,11,14,45,15,38,13,15
Herb_Bag_2246,38,12,32,0,24,32,9
Herb_Bag_2247,22,23,9,21,14,19,11
Herb_Bag_2248,16,16,12,14,15,18,8
Herb_Bag_2249,21,12,37,15,21,25,11
Herb_Bag_2250,23,17,20,18,21,20,2
Herb_Bag_2251,27,19,8,16,24,18,17
Herb_Bag_2252,11,17,14,17,19,8,11
Herb_Bag_2253,28,8,51,19,16,9,14
Herb_Bag_2254,24,14,24,13,33,23,12
Herb_Bag_2255,13,19,42,7,31,23,13
Herb_Bag_2256,24,19,12,20,16,24,12
Herb_Bag_2257,28,14,16,26,22,7,13
Herb_Bag_2258,27,2,29,23,15,16,6
Herb_Bag_2259,17,22,2,15,17,21,10
Herb_Bag_2260,1,22,26,18,20,19,7
Herb_Bag_2261,30,8,50,11,25,36,3
Herb_Bag_2262,6,11,5,4,37,13,4
Herb_Bag_2263,15,20,34,15,25,11,11
Herb_Bag_2264,0,22,19,31,27,29,8
Herb_Bag_2265,18,18,10,11,17,33,11
Herb_Bag_2266,16,9,22,33,22,27,8
Herb_Bag_2267,17,21,21,12,23,33,4
Herb_Bag_2268,29,20,22,9,5,7,15
Herb_Bag_2269,11,16,52,18,33,25,8
Herb_Bag_2270,16,11,27,0,32,14,13
Herb_Bag_2271,22,16,33,0,23,27,10
Herb_Bag_2272,16,11,13,6,23,24,9
Herb_Bag_2273,29,11,12,9,29,27,9
Herb_Bag_2274,19,20,47,18,40,13,6
Herb_Bag_2275,5,19,33,29,32,27,16
Herb_Bag_2276,3,16,22,16,21,25,9
Herb_Bag_2277,35,18,18,7,24,35,10
Herb_Bag_2278,0,25,10,23,26,20,3
Herb_Bag_2279,20,19,31,17,28,23,4
Herb_Bag_2280,22,24,18,18,32,13,8
Herb_Bag_2281,12,18,15,24,15,27,8
Herb_Bag_2282,21,5,23,27,16,0,11
Herb_Bag_2283,12,23,18,10,39,36,9
Herb_Bag_2284,8,21,19,21,29,36,10
Herb_Bag_2285,16,14,33,15,24,15,8
Herb_Bag_2286,20,15,10,10,34,6,11
Herb_Bag_2287,0,12,13,9,24,41,12
Herb_Bag_2288,17,10,19,14,14,18,9
Herb_Bag_2289,27,24,8,17,23,31,10
Herb_Bag_2290,22,21,10,25,25,36,8
Herb_Bag_2291,5,18,20,16,28,18,8
Herb_Bag_2292,2,20,34,9,29,28,7
Herb_Bag_2293,23,20,29,20,27,9,15
Herb_Bag_2294,18,8,31,17,26,13,9
Herb_Bag_2295,17,25,13,14,11,28,5
Herb_Bag_2296,22,20,44,13,27,38,9
Herb_Bag_2297,15,15,40,22,35,8,7
Herb_Bag_2298,18,10,39,7,17,8,6
Herb_Bag_2299,13,6,36,22,17,18,14
Herb_Bag_2300,7,12,15,15,16,28,7
Herb_Bag_2301,17,13,30,21,18,23,5
Herb_Bag_2302,31,13,7,20,30,21,6
Herb_Bag_2303,27,9,26,19,21,22,20
Herb_Bag_2304,15,14,43,22,34,19,8
Herb_Bag_2305,23,19,38,20,31,15,11
Herb_Bag_2306,20,15,17,14,18,26,7
Herb_Bag_2307,17,14,38,10,21,29,8
Herb_Bag_2308,3,21,51,2,24,14,9
Herb_Bag_2309,24,16,29,26,9,13,12
Herb_Bag_2310,16,16,46,12,27,29,14
Herb_Bag_2311,30,14,36,14,18,19,6
Herb_Bag_2312,29,8,44,16,29,15,10
Herb_Bag_2313,21,23,51,26,20,32,14
Herb_Bag_2314,17,14,48,11,33,16,10
Herb_Bag_2315,11,17,13,16,31,24,8
Herb_Bag_2316,16,6,40,0,34,26,12
Herb_Bag_2317,7,22,36,9,18,30,6
Herb_Bag_2318,21,14,4,28,23,29,7
Herb_Bag_2319,18,15,35,12,26,22,12
Herb_Bag_2320,32,15,28,17,34,40,11
Herb_Bag_2321,18,15,18,16,18,34,13
Herb_Bag_2322,18,13,14,9,20,3,11
Herb_Bag_2323,26,19,0,16,33,18,10
Herb_Bag_2324,25,17,15,0,26,20,7
Herb_Bag_2325,27,22,20,14,33,14,15
Herb_Bag_2326,39,21,37,5,30,4,10
Herb_Bag_2327,22,15,12,7,29,20,12
Herb_Bag_2328,13,17,26,11,18,16,13
Herb_Bag_2329,35,14,26,18,28,6,8
Herb_Bag_2330,7,7,1,18,29,21,12
Herb_Bag_2331,11,20,14,11,24,18,10
Herb_Bag_2332,22,27,23,12,22,18,8
Herb_Bag_2333,15,24,29,14,27,43,9
Herb_Bag_2334,8,9,19,16,30,29,11
Herb_Bag_2335,10,17,27,20,18,19,7
Herb_Bag_2336,0,7,3,19,32,38,11
Herb_Bag_2337,23,24,4,18,28,29,7
Herb_Bag_2338,16,14,21,8,33,15,10
Herb_Bag_2339,23,19,8,0,34,24,11
Herb_Bag_2340,19,13,25,21,19,40,8
Herb_Bag_2341,38,19,15,19,24,28,16
Herb_Bag_2342,23,10,50,14,26,21,11
Herb_Bag_2343,29,16,0,2,36,28,17
Herb_Bag_2344,7,14,16,15,20,14,5
Herb_Bag_2345,19,18,34,24,35,14,9
Herb_Bag_2346,16,14,38,14,27,20,8
Herb_Bag_2347,36,15,11,20,15,39,14
Herb_Bag_2348,0,21,35,17,29,35,12
Herb_Bag_2349,13,19,18,12,24,20,10
Herb_Bag_2350,13,20,27,21,40,52,14
Herb_Bag_2351,22,17,3,11,34,13,9
Herb_Bag_2352,3,23,12,6,34,22,11
Herb_Bag_2353,24,18,27,9,31,33,12
Herb_Bag_2354,14,22,29,16,19,23,9
Herb_Bag_2355,17,17,19,15,33,10,9
Herb_Bag_2356,8,18,27,19,27,7,10
Herb_Bag_2357,24,13,12,15,28,21,12
Herb_Bag_2358,30,17,0,25,19,10,4
Herb_Bag_2359,17,18,37,13,31,19,7
Herb_Bag_2360,20,20,37,19,22,29,7
Herb_Bag_2361,27,17,48,28,35,15,14
Herb_Bag_2362,24,21,7,16,33,13,12
Herb_Bag_2363,31,15,37,9,24,23,1
Herb_Bag_2364,17,22,18,18,23,13,8
