Day,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
325,냉장고,에어컨,아이폰,세탁기,의자,제습기,서랍,선반,청소기,자전거
326,냉장고,에어컨,아이폰,선반,의자,제습기,세탁기,자전거,테이블,청소기
327,냉장고,에어컨,의자,선반,아이폰,테이블,자전거,세탁기,청소기,제습기
328,냉장고,에어컨,아이폰,의자,선반,테이블,가방,세탁기,제습기,쌀
329,냉장고,선반,의자,자전거,에어컨,가방,테이블,쌀,아이폰,초기
330,냉장고,에어컨,아이폰,의자,자전거,선반,가방,상품권,테이블,초기
331,냉장고,에어컨,아이폰,의자,테이블,자전거,가방,선반,상품권,세탁기
332,냉장고,자전거,에어컨,아이폰,의자,선반,테이블,초기,가방,상품권
333,냉장고,자전거,에어컨,아이폰,선반,의자,상품권,테이블,가방,세탁기
334,냉장고,자전거,아이폰,상품권,에어컨,의자,가방,테이블,선반,라이온즈
335,냉장고,자전거,테이블,의자,선반,쌀,아이폰,청소기,라이온즈,에어컨
336,냉장고,아이폰,에어컨,자전거,선반,의자,지갑,스팸,배,상품권
337,냉장고,아이폰,에어컨,자전거,상품권,샤인,스팸,배,지갑,선반
338,상품권,샤인,배,냉장고,머스켓,자전거,아이폰,스팸,선반,참치
339,샤인,상품권,냉장고,아이폰,배,머스켓,자전거,선반,포도,참치
340,상품권,샤인,아이폰,냉장고,자전거,스팸,의자,제습기,에어컨,배
341,상품권,냉장고,쌀,고구마,아이폰,선반,자전거,샤인,제습기,에어컨
342,상품권,냉장고,아이폰,에어컨,자전거,선반,쌀,루이비통,스팸,테이블
343,아이폰,냉장고,상품권,에어컨,자전거,선반,루,라이온즈,청소기,샤인
344,아이폰,냉장고,에어컨,제습기,자전거,선반,상품권,루이비통,정가,청소기
345,냉장고,아이폰,에어컨,자전거,오늘,상품권,의자,제습기,선반,샤인
346,냉장고,에어컨,아이폰,선반,상품권,자전거,쌀,의자,세탁기,제습기
347,냉장고,아이폰,에어컨,선반,의자,자전거,상품권,라이온즈,세탁기,테이블
348,냉장고,에어컨,아이폰,자전거,선반,세탁기,티셔츠,제습기,정가,의자
349,아이폰,냉장고,에어컨,자전거,상품권,선반,의자,정가,루이비통,세탁기
350,냉장고,아이폰,에어컨,선반,상품권,자전거,제습기,샤인,가방,세탁기
351,냉장고,자전거,아이폰,에어컨,오늘,선반,경기,라이온즈,정가,단석
352,냉장고,자전거,고구마,에어컨,아이폰,밤,제습기,쌀,선반,의자
353,냉장고,아이폰,자전거,에어컨,상품권,의자,쌀,테이블,제습기,전자레인지
354,냉장고,자전거,밤,에어컨,선반,아이폰,세탁기,제습기,샤인,캠핑
355,냉장고,자전거,에어컨,선반,제습기,아이폰,밤,의자,고구마,골프
356,냉장고,에어컨,선반,자전거,아이폰,의자,고구마,쌀,밤,상품권
357,냉장고,자전거,에어컨,선반,가방,아이폰,패딩,세탁기,의자,제습기
358,냉장고,자전거,에어컨,선반,아이폰,제습기,가방,패딩,상품권,세탁기
359,냉장고,고구마,에어컨,패딩,자전거,선반,아이폰,청소기,의자,상품권
360,냉장고,에어컨,세탁기,선반,청소기,패딩,제습기,의자,상품권,자전거
361,냉장고,자전거,에어컨,선반,세탁기,아이폰,의자,패딩,캠핑,청소기
362,냉장고,자전거,고구마,에어컨,선반,제습기,의자,쌀,밤,상품권
363,냉장고,자전거,선반,에어컨,세탁기,패딩,아이폰,가방,의자,상품권
364,냉장고,자전거,상품권,선반,에어컨,쌀,아이폰,패딩,세탁기,의자
365,자전거,냉장고,아이폰,선반,의자,플레이오프,상품권,패딩,가방,골프
366,자전거,냉장고,고구마,아이폰,플레이오프,패딩,쌀,가방,밤,선반
367,고구마,냉장고,아이폰,자전거,선반,밤,꿀,쌀,플레이오프,통
368,냉장고,아이폰,선반,자전거,플레이오프,매트,고구마,청소기,가방,통
369,냉장고,아이폰,자전거,전부,통,채식주의자,선반,의자,한강,상품권
370,냉장고,자전거,아이폰,선반,통,한강,채식주의자,전부,가방,에어컨
371,냉장고,아이폰,가방,선반,세탁기,에어컨,자전거,지갑,신분,의자
372,아이폰,냉장고,통,선반,자전거,고구마,가방,전부,의자,배달
373,한국,시리즈,냉장고,통,아이폰,자전거,전부,가방,고구마,패딩
374,한국,시리즈,냉장고,패딩,자전거,아이폰,선반,행사,취소,배달
375,한국,시리즈,패딩,냉장고,가방,선반,통,고구마,의자,자전거
376,냉장고,자전거,선반,패딩,한국,시리즈,가방,아이폰,의자,에어컨
377,냉장고,패딩,자전거,루이비통,시리즈,선반,한국,가방,지갑,의자
378,자전거,냉장고,선반,한국,시리즈,제습기,패딩,쌀,캠핑,행사
379,자전거,냉장고,선반,패딩,쌀,제습기,한국,시리즈,루이비통,향수
380,냉장고,선반,자전거,쌀,패딩,향수,의자,신분,루이비통,캠핑
381,선반,냉장고,자전거,패딩,의자,모빌,가방,타이,쌀,루이비통
382,냉장고,자전거,선반,가방,패딩,테이블,아이폰,캠핑,세탁기,모빌
383,냉장고,선반,패딩,자전거,가방,아이폰,의자,세탁기,모빌,쌀
384,패딩,냉장고,선반,아이폰,가방,자전거,모빌,에어컨,의자,세탁기
385,냉장고,선반,가방,패딩,아이폰,자전거,세탁기,제습기,대봉,상품권
386,니트,자켓,가방,봉,미개,패딩,티,원피스,코트,책
387,니트,패딩,자켓,바지,가디건,키즈,원피스,스타벅스,아이폰,코트
388,원피스,코트,패딩,니트,자켓,봉,키즈,가디건,미개,아디다스
389,자켓,패딩,아이폰,니트,케이스,원피스,옷,아디다스,바지,티
390,자켓,니트,후드,원피스,티,패딩,아디다스,바지,가디건,봉
391,니트,자켓,코트,패딩,가방,원피스,티,바지,프리,가디건
392,자켓,니트,원피스,가방,코트,키즈,봉,케이스,패딩,블루
393,니트,자켓,코트,패딩,원피스,봉,가디건,미개,티,롱
394,자켓,니트,가방,패딩,옷,점퍼,원피스,코트,가디건,쿠션
395,자켓,니트,패딩,가방,원피스,티,봉,후드,미개,아이폰
396,패딩,니트,자켓,원피스,가방,점퍼,코트,가디건,바지,옷
397,패딩,자켓,티,코트,니트,바지,후드,아이폰,원피스,가방
398,니트,자켓,패딩,코트,가방,티,원피스,봉,후드,미개
399,니트,원피스,자켓,코트,패딩,옷,조끼,봉,가방,후드
400,패딩,니트,자켓,코트,미개,봉,골프,가방,아동,블루
401,자켓,패딩,니트,팬츠,봉,가방,가디건,원피스,미개,에어
402,니트,패딩,자켓,후드,아디다스,바지,원피스,키즈,트,봉
403,니트,패딩,원피스,티,후드,조끼,옷,코트,가디건,아이폰
404,니트,자켓,패딩,코트,후드,원피스,아이폰,스타벅스,집업,바지
405,패딩,니트,자켓,코트,가방,원피스,가디건,키즈,아이폰,스타벅스
406,니트,패딩,자켓,후드,가방,코트,티,집업,원피스,바지
407,패딩,자켓,니트,원피스,가방,아이폰,스타벅스,바지,봉,아디다스
408,니트,패딩,가방,티,코트,자켓,후드,아이폰,원피스,운동화
409,패딩,자켓,코트,니트,티,원피스,가방,아디다스,스타벅스,후드
410,자켓,원피스,니트,패딩,후드,봉,옷,티,미개,가방
411,니트,패딩,자켓,코트,원피스,티,가방,팬츠,후드,에어
412,니트,패딩,자켓,코트,원피스,스타벅스,가방,봉,바지,미개
413,패딩,니트,아이폰,후드,가방,인형,봉,자켓,원피스,미개
414,니트,패딩,봉,아이폰,자켓,미개,스타벅스,가방,티,아디다스
415,니트,패딩,자켓,코트,티,봉,바지,미개,후드,가방
416,니트,패딩,자켓,원피스,봉,미개,후드,가방,티,코트
417,니트,패딩,자켓,가방,후드,티,원피스,책,아디다스,롱
418,니트,자켓,패딩,코트,후드,티,가디건,가방,유아,봉
419,패딩,니트,자켓,후드,가디건,원피스,봉,미개,티,아디다스
420,원피스,패딩,자켓,니트,가방,옷,아이폰,티,부츠,코트
421,패딩,자켓,니트,코트,원피스,인형,바지,부츠,티,봉
422,자켓,니트,패딩,코트,후드,티,가방,원피스,가디건,조끼
423,자켓,패딩,코트,가방,니트,티,아이폰,조끼,블루,지갑
424,패딩,니트,후드,자켓,아이폰,바지,코트,가디건,티,케이스
425,니트,패딩,후드,원피스,자켓,가방,코트,티,옷,봉
426,패딩,자켓,코트,니트,봉,미개,롱,가방,원피스,스타벅스
427,니트,패딩,가방,프리,자켓,코트,티,원피스,스타벅스,퀀시
428,니트,패딩,원피스,가디건,가방,후드,자켓,티,미개,봉
429,패딩,니트,자켓,스타벅스,봉,프리,미개,코트,후드,원피스
430,니트,패딩,프리,원피스,자켓,코트,퀀시,가방,바지,스타벅스
431,패딩,니트,스타벅스,프리,퀀시,자켓,아디다스,코트,가방,봉
432,니트,스타벅스,패딩,자켓,후드,가방,나눔,원피스,티,코트
433,자켓,코트,패딩,니트,가방,후드,원피스,봉,미개,스타벅스
434,패딩,코트,니트,프리,롱,스타벅스,후드,자켓,원피스,퀀시
435,스타벅스,패딩,니트,프리,책,자켓,퀀시,코트,후드,원피스
